strain_code,chroma,sat,bright,clone_mean_area,n_plate,AUC_0,AUC_10,AUC_20,AUC_30,AUC_ratio_10,resilience_30,cu_dose_slope,cu_dose_r2,n_cu,IC50_est
TFCN_102D-2,11.601672776940564,0.29636019853015916,0.6187438010223545,4.499846821381932,4.0,1776270.0,2102132.25,1601711.25,816346.5,1.1834531067911973,0.45958469151649245,-0.027443773075501516,0.6783239266399544,7,29.03377742379263
TFCN_105A-2,10.864444585462198,0.28273453152055783,0.5984092469672694,4.3631605302861045,4.0,1379527.875,1548535.125,1251298.5,3543552.0,1.1225109351269904,2.568670096644477,-0.016523523860543524,0.6749182519787545,7,
TFCN_106A-1,8.852279264454943,0.2277549797173004,0.5899242771038377,4.687494403553983,4.0,2908744.5,2360715.0,1650999.75,1143783.75,0.8115924241541325,0.3932224882591097,-0.026933940430402637,0.9367893850660616,7,27.20099056534346
TFCN_107A-6,11.882311100843486,0.3136178976265861,0.618863965819791,4.387436546080386,4.0,1560018.375,1789687.875,1267773.0,619164.75,1.147222304352665,0.3968958057945952,-0.03080160255678703,0.7156147325474719,7,28.602720571894213
TFCN_107C-3,10.77032662656705,0.27721274366633475,0.6169756618600748,4.455212330969301,4.0,1772602.875,2229813.375,1565898.75,879870.375,1.2579317152467102,0.49637196656357674,-0.027358108027024094,0.6778821468860012,7,29.549762474045178
TFCN_110C-1,6.5174192208092565,0.18663761102463808,0.5087949187457084,4.166459717093484,2.0,922700.25,1799050.5,1298601.0,343098.0,1.9497670017971709,0.37184123446373835,-0.011280218224789338,0.079397352888033,7,
TFCN_118C-2,11.510329490887969,0.3020501791143988,0.617462043183032,4.459488610014222,4.0,1802440.875,2092513.5,1359207.375,2583955.875,1.1609332261730916,1.433587037910467,-0.05298121357023829,0.7313237730086772,7,24.17557386337534
TFCN_122C-2,8.489448769893862,0.2240052011400329,0.5998521782253757,4.376077139661347,4.0,1493109.75,2062598.25,3104200.875,2082960.375,1.381411011481239,1.3950484048476677,0.0002482226580611321,0.00037386617258264196,7,
TFCN_130D-4,9.674868248370668,0.2558363358134683,0.5959668497749294,4.334752728328278,4.0,1300237.875,1522406.625,1290015.75,1785270.0,1.1708677729450083,1.3730333766811706,-0.0128637461755773,0.5707427620722397,7,
TFCN_134A-3,9.96566755126217,0.25910548741568307,0.6180819409475853,4.503795788369829,4.0,1962817.125,2025303.0,1570699.5,768108.375,1.031834792046661,0.39132956668084906,-0.038573308154435104,0.753140548450744,7,25.411690082501984
TFCN_137C-3,8.606686125206638,0.22592619770650163,0.5709639887083238,4.257303504043641,4.0,1144754.625,1535039.25,1226408.25,1027539.0,1.3409329968856862,0.8976063320119803,0.005047587783297936,0.1926345370873276,7,
TFCN_137D-4,10.365007100081808,0.2671782299426389,0.613122758831159,4.47472422260834,4.0,1844553.0,1981384.125,2417648.625,1208130.0,1.0741811837339452,0.6549716923287106,-0.020452467330994886,0.7474294424836998,7,
TFCN_138A-1,9.750130138167231,0.2550636655723101,0.6043554970626382,4.45785919782294,4.0,1763883.75,1929861.0,1598147.25,1429363.875,1.0940976127253284,0.8103503844853721,-0.010198384825116882,0.6435184889411659,7,
TFCN_140A-3,10.968376741744079,0.2923320948391928,0.5960069047074082,4.401001823687662,4.0,1554768.0,1904995.5,1364691.375,953797.875,1.225260296069896,0.6134663660430366,-0.021753765863684483,0.6895638001424705,7,
TFCN_141C-2,10.034404716167375,0.25970331128884483,0.6064993896391242,4.46408136626386,4.0,1790752.875,2047480.125,1512630.375,5706678.375,1.1433627462415774,3.1867481296100113,-0.015113265546782526,0.6713250902937632,7,
TFCN_152A-1,7.730706245494542,0.2093456805001087,0.5829823758297092,4.794960076579426,4.0,3649291.5,2251611.0,1822107.75,741643.5,0.6169994915451397,0.20322944878478466,-0.042220418674718284,0.8685742508108344,7,21.02153335067742
TFCN_152A-12,10.826714760649285,0.2782130223284013,0.6181649118791486,4.482026312008906,4.0,1926853.125,1891734.75,1651040.625,1050657.0,0.9817742335706049,0.5452709323654339,-0.017218489685693224,0.7183727065240316,7,
TFCN_152A-2,8.683866454194964,0.23190430339671847,0.5603885328450446,4.264614199743212,4.0,1137859.125,1354452.375,1140938.625,695860.125,1.1903515516474854,0.6115520891041762,-0.011751208860818213,0.24173813003325154,7,
TFCN_152A-5,9.994559494871199,0.2528619014855442,0.6113756008239872,4.4745167414377915,4.0,1725168.75,1893296.25,1713362.25,1686248.25,1.097455683683118,0.9774395983001662,-0.0043226931700641605,0.4618986529819761,7,
TFCN_152C-5,11.886242225087218,0.30896500746131916,0.6249055848020142,4.476443951282597,4.0,1754428.5,1930144.5,1602144.0,975168.75,1.1001556917252542,0.5558327113359136,-0.021123519741040448,0.6397684490740656,7,
TFCN_17-0-2E334-10,10.461833481484328,0.26659285904091823,0.6202201113908599,4.458095586646732,4.0,1594216.5,1760598.75,1479513.75,826646.25,1.1043661572941943,0.5185282237387456,-0.026920545534031257,0.7382147865271359,7,29.371131187113118
TFCN_17-0-2E334-4,10.962239754302246,0.2808771544427847,0.6349412527656977,4.52236108358527,4.0,1904904.75,2251647.0,1837266.0,1235242.5,1.18202603043538,0.648453682526646,-0.017720906809272498,0.6265501092169325,7,
TFCN_17-0-2E337-3,9.29257624045766,0.25805303964248766,0.5989337758449683,4.509991736716885,4.0,1816839.0,2136472.5,1910645.25,2632713.0,1.1759283568879797,1.449062355002287,-0.0361399013339627,0.5538966929861393,7,27.493396480366094
TFCN_17-0-2E390-1,10.084505452417655,0.2655302416528317,0.615293354695964,4.535904615203315,4.0,2192386.875,2321840.625,1871101.875,652948.875,1.0590469462649013,0.2978255719579602,-0.034120261996589435,0.6678159063440976,7,27.46520606985723
TFCN_17-0-2E390-2,10.932909902590069,0.2998723456786271,0.5873973194984868,4.457813796441371,3.0,1796384.5,2310533.5,1774684.0,431423.625,1.286213224396002,0.24016218409811485,-0.03327026012028671,0.5690571699254156,7,27.986467585145814
TFCN_17-267M-1,8.494042640175463,0.23704988161554114,0.5895675974670024,4.491986418203122,4.0,1926044.25,2227083.75,2236598.25,677040.375,1.1562993685113931,0.35151859828765614,-0.03411453229251727,0.6975467074825736,7,27.11304968442052
TFCN_17-291Y-1,9.966026615114448,0.26817793992030975,0.6087558175020982,4.4831074539212485,4.0,1902804.75,1799262.75,1499692.125,469497.0,0.9455845377724645,0.24673945132836148,-0.03711943514218155,0.7336604325441332,7,26.64038987474556
TFCN_172A-1,9.631426918715176,0.2562920033233394,0.608948462653544,4.44031663721796,4.0,1696276.5,2180037.0,1577041.5,3333917.25,1.2851896492110808,1.9654326697327942,-0.025239798084791595,0.6281512852449321,7,29.716614483542845
TFCN_17-325D-2,11.10846083110629,0.28469947966860853,0.6135366598001069,4.479836139606688,4.0,1927618.5,1959823.875,1447489.875,871813.5,1.01670733861498,0.4522749185069556,-0.02110143268102205,0.7997347962956975,7,
TFCN_17-325D-4,11.200833040481378,0.2867825737133209,0.6103618295567255,4.514418241877564,4.0,1860826.5,2133333.75,1809207.75,1226409.0,1.1464442010042313,0.6590668178897925,-0.017931425518011388,0.6738943335269477,7,
TFCN_17-325P-1,10.078415069205699,0.26232170919269887,0.598182269016556,4.463986255276806,4.0,1795759.875,1899235.875,1555746.75,1225674.0,1.0576224034407717,0.6825378031124568,-0.01831845700716273,0.7430498216262432,7,
TFCN_17-329Y-4,9.415087604474875,0.2630245249388054,0.5645485236896315,4.301466784763718,4.0,1205929.5,1832942.25,1343007.0,983332.125,1.519941464239825,0.8154142717298151,-0.019135067987797197,0.48359252575473577,7,
TFCN_17-332C-1,10.57417114712306,0.2637833717189325,0.6153047989623865,4.468570698268081,4.0,1671819.75,2024227.5,1911619.5,1722131.25,1.2107929099413977,1.0300938543165314,-0.004808332042726476,0.267577436737791,7,
TFCN_17-332C-2,10.60872914661754,0.2640336967219563,0.6420710307469292,4.40510292993703,4.0,1464010.5,2279001.0,1872323.25,1043591.25,1.5566835073928773,0.7128304407652813,-0.014336125085262896,0.28320288561664275,7,
TFCN_17-332M-1,8.936921160770012,0.23561710103856592,0.6112420843823911,4.603323035589832,4.0,2291498.25,2705010.0,2325528.75,728787.75,1.180454752692916,0.3180398457646651,-0.0445003916116214,0.6450624455789387,7,25.654021443657346
TFCN_17-332M-2,11.108360944094692,0.2712867709033116,0.6368848706797894,4.567316093387976,4.0,2241925.5,2221114.5,2096185.5,1617821.25,0.9907173543456284,0.721621325061872,-0.010450652188316199,0.6509559823789977,7,
TFCN_17-332P-1,9.910921378963778,0.2550851876736087,0.6097133211261159,4.414292140918522,4.0,1480881.0,1781091.75,1741377.75,1155702.0,1.2027244255277771,0.7804151717795015,-0.00971142735928984,0.36919162205947864,7,
TFCN_17-332P-2,10.205561717127983,0.2566049173704902,0.6144092851148242,4.47912163358134,4.0,1810234.5,1847595.75,1842287.25,1522044.0,1.0206389006507168,0.8407993550006919,-0.008384617984562836,0.4388248458573716,7,
TFCN_17-333D-2,10.964795514883921,0.27444695803851094,0.6337386511024643,4.478472700943479,4.0,1730958.0,2060304.75,1770537.75,1165887.0,1.190268481384297,0.6735501381316011,-0.01582000733066248,0.5484099958013751,7,
TFCN_17-333P-6,10.138333584869303,0.2665721937037485,0.6011167696650644,4.48926572645361,4.0,1929281.25,2019169.875,1788134.25,2720387.625,1.046591768307498,1.4100523834977403,-0.0066362388668552005,0.4585911461045153,7,
TFCN_17-334C-1,8.95290674925959,0.22770552485489237,0.6144035629816129,4.425990446453526,4.0,1458063.0,1642642.5,1395784.5,1164056.25,1.1265922665893038,0.7983579927616297,-0.01116600551599872,0.5443657223433974,7,
TFCN_17-334D-6,8.541159648985875,0.23068525341787094,0.6173571374074922,4.533975308409208,4.0,1991400.0,2076971.25,2058354.75,3165589.5,1.0429703977101537,1.5896301596866527,-0.038625683188034214,0.5786947680180522,7,27.263388571518497
TFCN_17-334Y-2,9.981252249786973,0.2600542320890662,0.5985074769207294,4.4033457637469,4.0,1586298.0,1964125.875,1572642.75,1081623.0,1.238182154298877,0.6818535987563497,-0.014497120583345019,0.5098848025531573,7,
