strain_id,well,cu,species,t_capture_h,t_onset_h,max_area,max_chroma,n_tp
9.0,10,5.0,Rhodotorula mucilaginosa,27.0,39.0,53600.0,16.164830826386066,20
9.0,10,10.0,Rhodotorula mucilaginosa,33.0,0.0,45002.0,13.745994889365493,20
9.0,10,15.0,Rhodotorula mucilaginosa,0.0,0.0,40779.0,13.203606532714115,20
9.0,10,20.0,Rhodotorula mucilaginosa,0.0,0.0,226241.0,17.30220228499945,19
9.0,10,25.0,Rhodotorula mucilaginosa,39.0,0.0,27970.0,17.1735519999145,41
9.0,10,30.0,Rhodotorula mucilaginosa,45.0,0.0,10336.0,17.46184941973557,31
9.0,71,0.0,Rhodotorula mucilaginosa,33.0,51.0,37882.0,11.249960956051936,20
9.0,71,5.0,Rhodotorula mucilaginosa,27.0,39.0,56659.0,15.340612930601043,20
9.0,71,10.0,Rhodotorula mucilaginosa,27.0,45.0,53323.0,14.380920095371078,20
9.0,71,15.0,Rhodotorula mucilaginosa,21.0,0.0,54587.0,12.72737894631634,20
9.0,71,20.0,Rhodotorula mucilaginosa,21.0,0.0,48178.0,15.967693837426756,19
9.0,71,25.0,Rhodotorula mucilaginosa,21.0,0.0,34965.0,17.13943296538119,27
9.0,71,30.0,Rhodotorula mucilaginosa,18.0,0.0,27736.0,17.052088862863673,27
9.0,86,0.0,Rhodotorula mucilaginosa,27.0,33.0,40984.0,13.828332999239894,20
9.0,86,5.0,Rhodotorula mucilaginosa,33.0,39.0,46006.0,12.893283404944684,20
9.0,86,10.0,Rhodotorula mucilaginosa,33.0,0.0,40350.0,11.221250876733796,21
9.0,86,15.0,Rhodotorula mucilaginosa,33.0,0.0,38426.0,11.22765036468615,21
9.0,86,20.0,Rhodotorula mucilaginosa,33.0,0.0,27149.0,17.25781980426591,27
9.0,86,25.0,Rhodotorula mucilaginosa,15.0,0.0,21571.0,16.851506695133008,20
9.0,86,30.0,Rhodotorula mucilaginosa,12.0,0.0,13732.0,17.13830152602295,31
10.0,12,5.0,Rhodotorula sphaerocarpa,0.0,,1449.0,3.980109574595003,20
10.0,12,10.0,Rhodotorula sphaerocarpa,0.0,0.0,1536.5,7.450705079051623,22
10.0,12,15.0,Rhodotorula sphaerocarpa,9.0,0.0,1164.0,16.679163078516495,24
10.0,12,20.0,Rhodotorula sphaerocarpa,0.0,0.0,972.0,16.89398548469295,9
10.0,12,25.0,Rhodotorula sphaerocarpa,0.0,0.0,5392.0,16.889325890479494,8
10.0,12,30.0,Rhodotorula sphaerocarpa,0.0,0.0,4292.0,16.998811519424024,13
10.0,69,0.0,Rhodotorula sphaerocarpa,27.0,27.0,38530.0,15.466651188945931,20
10.0,69,5.0,Rhodotorula sphaerocarpa,21.0,27.0,41415.0,14.468196183118671,20
10.0,69,10.0,Rhodotorula sphaerocarpa,15.0,33.0,40230.0,12.856890085653882,20
10.0,69,15.0,Rhodotorula sphaerocarpa,15.0,33.0,38003.0,11.887002422011502,20
10.0,69,20.0,Rhodotorula sphaerocarpa,21.0,0.0,35324.0,17.25893077288048,20
10.0,69,25.0,Rhodotorula sphaerocarpa,27.0,0.0,24803.0,16.895242510686,25
10.0,69,30.0,Rhodotorula sphaerocarpa,6.0,0.0,12567.0,17.01770472298402,36
10.0,88,10.0,Rhodotorula sphaerocarpa,0.0,0.0,448.0,9.754281113714898,7
10.0,88,15.0,Rhodotorula sphaerocarpa,0.0,0.0,65.5,16.076795599341207,8
10.0,88,20.0,Rhodotorula sphaerocarpa,0.0,0.0,110.0,17.376807763603903,8
10.0,88,25.0,Rhodotorula sphaerocarpa,0.0,0.0,95.0,17.400644739968264,32
10.0,88,30.0,Rhodotorula sphaerocarpa,12.0,0.0,395.0,17.47306746038236,24
10.0,90,0.0,Rhodotorula sphaerocarpa,45.0,75.0,36290.0,9.471095072081004,20
10.0,90,5.0,Rhodotorula sphaerocarpa,39.0,45.0,45334.0,12.949027764626203,20
10.0,90,10.0,Rhodotorula sphaerocarpa,39.0,0.0,39530.0,11.722804519035275,21
10.0,90,15.0,Rhodotorula sphaerocarpa,0.0,0.0,34759.0,13.833347292257075,20
10.0,90,20.0,Rhodotorula sphaerocarpa,9.0,0.0,113305.0,17.28341514712379,29
10.0,90,25.0,Rhodotorula sphaerocarpa,9.0,0.0,39512.0,17.372287312493217,24
10.0,90,30.0,Rhodotorula sphaerocarpa,9.0,0.0,12648.0,17.46787303759879,50
11.0,13,0.0,Rhodotorula mucilaginosa,39.0,63.0,32960.0,9.695711149699914,20
11.0,13,5.0,Rhodotorula mucilaginosa,33.0,51.0,46988.0,13.001246519348175,20
11.0,13,10.0,Rhodotorula mucilaginosa,27.0,0.0,47934.0,12.759396639562834,20
11.0,13,15.0,Rhodotorula mucilaginosa,27.0,0.0,44740.0,16.004051055933132,22
11.0,13,20.0,Rhodotorula mucilaginosa,27.0,0.0,47198.0,17.26104329977791,29
11.0,13,25.0,Rhodotorula mucilaginosa,9.0,0.0,51895.0,16.68841370795697,21
11.0,13,30.0,Rhodotorula mucilaginosa,15.0,0.0,38298.0,16.753411750888034,26
11.0,17,0.0,Rhodotorula mucilaginosa,39.0,81.0,32269.0,8.925444095126675,20
11.0,17,5.0,Rhodotorula mucilaginosa,39.0,45.0,40714.0,9.581796116494065,20
11.0,17,10.0,Rhodotorula mucilaginosa,3.0,3.0,33083.0,10.3608900063701,19
