strain_id,species,n_cu,slope_logchroma_per_mM,intercept_logchroma,r2,environment,origin
112.0,Rhodotorula sp. clade I,9,0.013890791022678,1.9623861775835765,0.08437516069354688,marsh_tidalflat,China
113.0,Rhodotorula mucilaginosa,28,-0.0051158902910577895,2.354043945028944,0.022547615315968796,marsh_tidalflat,China
114.0,Rhodotorula toruloides,19,-0.047477103439039194,2.4423272685685578,0.5939358552119769,marsh_tidalflat,China
115.0,Rhodotorula mucilaginosa,21,-0.01172531656864744,2.4866832825733916,0.5442291306241132,marsh_tidalflat,China
116.0,Rhodotorula mucilaginosa,27,-0.04695845830149256,2.6841048163007257,0.611507801135575,marsh_tidalflat,China
117.0,Rhodotorula mucilaginosa,28,-0.03814495147205341,2.650707862021925,0.7721305256349972,marsh_tidalflat,China
118.0,Rhodotorula taiwanensis,27,-0.02993279873385716,2.691656284223119,0.7107844080257336,marsh_tidalflat,China
119.0,Rhodotorula sp. clade I,28,-0.036316992371354925,2.68099860800573,0.6635311369269892,marsh_tidalflat,China
120.0,Rhodotorula diobovata,20,-0.030332045155795722,2.388400652296177,0.22606777338033957,marsh_tidalflat,China
121.0,Rhodotorula paludigena,10,-0.0122056500375171,1.74789429579219,0.03181663605726014,marsh_tidalflat,China
122.0,Rhodotorula sp. clade I,7,-0.006304914333801612,2.5219559410385437,0.8637193916348468,marsh_tidalflat,China
123.0,Rhodotorula sp. clade I,18,-0.00023578594762077836,2.0510078672974372,1.4208324629267305e-05,marsh_tidalflat,China
124.0,Rhodotorula mucilaginosa,28,-0.03867082247643319,2.6992456284953414,0.6469507492673704,marsh_tidalflat,China
125.0,Rhodotorula mucilaginosa,28,-0.02569736027928918,2.5011629675735927,0.5029952679700738,marsh_tidalflat,China
126.0,Rhodotorula mucilaginosa,28,-0.030977392899812876,2.694698952195079,0.4769185117550292,marsh_tidalflat,China
127.0,Rhodotorula mucilaginosa,28,-0.03744952018618525,2.7197719570646024,0.7422170632796264,marsh_tidalflat,China
128.0,Rhodotorula graminis,7,-0.0539790143207154,2.477366672866734,0.7640769984808138,marsh_tidalflat,China
129.0,Rhodotorula mucilaginosa,28,-0.015548203287799234,2.5537335745314222,0.3034174319376018,marsh_tidalflat,China
130.0,Rhodotorula mucilaginosa,28,-0.00523939124743176,2.2106744564586274,0.027243687844423006,,China
131.0,Rhodotorula mucilaginosa,28,-0.0153784189966674,2.56513908625836,0.6112648932981742,marsh_tidalflat,China
133.0,Rhodotorula mucilaginosa,28,-0.013728338239115734,2.5455126111302167,0.6111891701304796,marsh_tidalflat,China
134.0,Rhodotorula mucilaginosa,28,-0.02056365733858684,2.5765342171816856,0.5338570077915389,marsh_tidalflat,China
135.0,Rhodotorula mucilaginosa,28,-0.024176090796078128,2.6208549997621002,0.6583762907452065,marsh_tidalflat,China
136.0,Rhodotorula sphaerocarpa,20,0.004928511313140222,2.0390872259327306,0.006842495546889027,marsh_tidalflat,China
137.0,Rhodotorula taiwanensis,27,-0.03473510544119402,2.669128821124513,0.619142449489173,marsh_tidalflat,China
138.0,Rhodotorula paludigena,7,-0.01678609801489621,2.606447430440353,0.7025125109878212,marsh_tidalflat,China
139.0,Rhodotorula sp. clade I,22,-0.030534284520422172,2.5807808727810944,0.3184605018080039,,China
140.0,Rhodotorula sp. clade I,15,-0.031667919789370065,2.599805842208627,0.3396024020383179,marsh_tidalflat,China
141.0,Rhodotorula toruloides,21,-0.042878608307388696,2.633868829057046,0.42149427539344947,marsh_tidalflat,China
142.0,Rhodotorula mucilaginosa,28,-0.010794673035090099,2.5007003396219245,0.46582006107471835,,China
143.0,Rhodotorula mucilaginosa,28,-0.012896222882442944,2.604004556817867,0.6326403032223307,marsh_tidalflat,China
144.0,Rhodotorula mucilaginosa,28,-0.015976766952604554,2.551562190742715,0.546274487485024,marsh_tidalflat,China
145.0,Rhodotorula mucilaginosa,28,-0.01839564539165113,2.5337281445368696,0.4798377173630926,marsh_tidalflat,China
146.0,Rhodotorula mucilaginosa,28,-0.01600708743445484,2.569167375301863,0.6835507768053104,marsh_tidalflat,China
147.0,Rhodotorula paludigena,7,-0.004685031199818845,2.2339754209061673,0.05926601227294001,marsh_tidalflat,China
148.0,Rhodotorula mucilaginosa,28,-0.020186009719059574,2.609451628706504,0.3857946152452114,marsh_tidalflat,China
149.0,Rhodotorula sphaerocarpa,21,0.012008977499126909,1.8554140981813134,0.026336471139877325,marsh_tidalflat,China
