strain_id,copper_mm,species,hue_wmean,chroma_median,n,morph
43.0,20.0,Rhodotorula toruloides,44.35450669943074,3.223857783970408,15.0,0
43.0,25.0,Rhodotorula toruloides,46.276842262873366,4.657076254250809,10.0,0
43.0,30.0,Rhodotorula toruloides,68.5802492338903,4.1851476432538846,15.0,0
44.0,0.0,Rhodotorula diobovata,24.740777225586278,8.507309066245792,20.0,1
44.0,5.0,Rhodotorula diobovata,48.687259861182,11.557339425392673,20.0,0
44.0,10.0,Rhodotorula diobovata,46.24870064837687,9.094890951157154,20.0,0
44.0,15.0,Rhodotorula diobovata,31.08365700951094,7.75605744631639,20.0,0
44.0,20.0,Rhodotorula diobovata,49.20531678735002,7.48887983087317,15.0,0
44.0,25.0,Rhodotorula diobovata,57.91628956611286,7.128423367553442,15.0,0
44.0,30.0,Rhodotorula diobovata,68.93733783130374,8.105624282438708,15.0,0
45.0,0.0,Rhodotorula mucilaginosa,22.850863809801453,8.66780815594086,20.0,1
45.0,5.0,Rhodotorula mucilaginosa,43.22992936834614,12.597448749229674,15.0,0
45.0,10.0,Rhodotorula mucilaginosa,47.85722533415743,10.449742170961947,15.0,0
45.0,15.0,Rhodotorula mucilaginosa,50.05878328550486,8.698365241363831,15.0,0
45.0,20.0,Rhodotorula mucilaginosa,53.76309394443901,7.143922851138919,15.0,0
45.0,25.0,Rhodotorula mucilaginosa,54.07111406126696,5.454758462350173,15.0,0
45.0,30.0,Rhodotorula mucilaginosa,51.778075459064276,3.3236560167854297,15.0,0
46.0,0.0,Rhodotorula paludigena,17.46464924474682,8.092569390833846,15.0,1
46.0,5.0,Rhodotorula paludigena,47.94279106249741,10.190843224242622,15.0,0
46.0,10.0,Rhodotorula paludigena,51.935323181581076,8.178539033594028,15.0,0
46.0,15.0,Rhodotorula paludigena,58.165660716214816,9.431187350802622,15.0,0
46.0,20.0,Rhodotorula paludigena,63.4099872708404,7.328157601884552,15.0,0
